Feature	Estimator	Accuracy	Precision	Recall	F1	AUC	Accuracy_best	Precision_best	Recall_best	F1_best	AUC_best
all	gaussian	0.8282828282828283	0.8278574172293979	0.8026415524000065	0.810966737199388	0.8936646158564548	{}	{}	{}	{}	{}
all	logistic	0.8383838383838383	0.8568895302228635	0.7880625904780494	0.8173438934802572	0.8990631254053002	{'penalty': 'l2', 'solver': 'liblinear'}	{'penalty': 'l2', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l2', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'newton-cg'}
age	gaussian	0.632996632996633	0.5931597251789945	0.6495242277850974	0.6198165042313044	0.6286629908192817	{}	{}	{}	{}	{}
age	logistic	0.6262626262626263	0.6375016288059766	0.5255257892939053	0.564534231200898	0.6396079767893337	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'newton-cg'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'liblinear'}
sex	gaussian	0.6161616161616161	0.559882275709808	0.8175393223702403	0.6633465876513432	0.6304918916425009	{}	{}	{}	{}	{}
sex	logistic	0.6161616161616161	0.559882275709808	0.8175393223702403	0.6633465876513432	0.6415404093071255	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l2', 'solver': 'liblinear'}
chest_pain	gaussian	0.7542087542087542	0.72640759446315	0.7517965484149058	0.738526249164547	0.7498629792389097	{}	{}	{}	{}	{}
chest_pain	logistic	0.7542087542087542	0.72640759446315	0.7517965484149058	0.738526249164547	0.7797568221561516	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l2', 'solver': 'liblinear'}
resting_bp	gaussian	0.5589225589225589	0.5843977335205406	0.22630491712617315	0.3219289342170698	0.5177053247511728	{}	{}	{}	{}	{}
resting_bp	logistic	0.5353535353535354	0.5540412947820356	0.25624684851737994	0.30395135301340204	0.573513152366493	{'penalty': 'l2', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}
cholesterol	gaussian	0.5084175084175084	0.2836934156378601	0.18315847687828365	0.22211320343325316	0.41542333676140986	{}	{}	{}	{}	{}
cholesterol	logistic	0.5252525252525253	0.2982844316177649	0.11720424860521479	0.16744895053352765	0.42026841297038486	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'liblinear'}
blood_sugar	gaussian	0.5151515151515151	0.26283346283346287	0.09456887717757283	0.13787593448610397	0.4682824456804343	{}	{}	{}	{}	{}
blood_sugar	logistic	0.5387205387205387	0.13333333333333333	0.1163337250293772	0.08080808080808081	0.47492428001953113	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l2', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'liblinear'}
ecg	gaussian	0.5791245791245792	0.5378214437225601	0.576271572406838	0.5492691908073595	0.5843431427881342	{}	{}	{}	{}	{}
ecg	logistic	0.5791245791245792	0.5378214437225601	0.5911162986739292	0.5492691908073595	0.6024989003957353	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l2', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l2', 'solver': 'lbfgs'}
max_hr	gaussian	0.6868686868686869	0.7263028588788416	0.5254834984303582	0.6000547858914129	0.7457702589246357	{}	{}	{}	{}	{}
