+-------------------------+-----------+----------------+----------------+----------------+----------------+----------------+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+
|         Feature         | Estimator |    Accuracy    |   Precision    |     Recall     |       F1       |      AUC       |              Accuracy_best               |              Precision_best              |               Recall_best                |                 F1_best                  |                 AUC_best                 |
+-------------------------+-----------+----------------+----------------+----------------+----------------+----------------+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+
|           all           |  gaussian | 0.828282828283 | 0.828282828283 | 0.828282828283 | 0.828282828283 | 0.828282828283 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
|           all           |  logistic | 0.838383838384 | 0.838383838384 | 0.838383838384 | 0.838383838384 | 0.838383838384 | {'penalty': 'l2', 'solver': 'liblinear'} | {'penalty': 'l2', 'solver': 'liblinear'} | {'penalty': 'l2', 'solver': 'liblinear'} | {'penalty': 'l2', 'solver': 'liblinear'} | {'penalty': 'l2', 'solver': 'liblinear'} |
|           age           |  gaussian | 0.632996632997 | 0.632996632997 | 0.632996632997 | 0.632996632997 | 0.632996632997 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
|           age           |  logistic | 0.626262626263 | 0.626262626263 | 0.626262626263 | 0.626262626263 | 0.626262626263 |   {'penalty': 'l1', 'solver': 'lbfgs'}   |   {'penalty': 'l1', 'solver': 'lbfgs'}   |   {'penalty': 'l1', 'solver': 'lbfgs'}   |   {'penalty': 'l1', 'solver': 'lbfgs'}   |   {'penalty': 'l1', 'solver': 'lbfgs'}   |
|           sex           |  gaussian | 0.616161616162 | 0.616161616162 | 0.616161616162 | 0.616161616162 | 0.616161616162 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
|           sex           |  logistic | 0.616161616162 | 0.616161616162 | 0.616161616162 | 0.616161616162 | 0.616161616162 | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} |
|        chest_pain       |  gaussian | 0.754208754209 | 0.754208754209 | 0.754208754209 | 0.754208754209 | 0.754208754209 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
|        chest_pain       |  logistic | 0.754208754209 | 0.754208754209 | 0.754208754209 | 0.754208754209 | 0.754208754209 | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} |
|        resting_bp       |  gaussian | 0.558922558923 | 0.558922558923 | 0.558922558923 | 0.558922558923 | 0.558922558923 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
|        resting_bp       |  logistic | 0.535353535354 | 0.535353535354 | 0.535353535354 | 0.535353535354 | 0.535353535354 | {'penalty': 'l2', 'solver': 'liblinear'} | {'penalty': 'l2', 'solver': 'liblinear'} | {'penalty': 'l2', 'solver': 'liblinear'} | {'penalty': 'l2', 'solver': 'liblinear'} | {'penalty': 'l2', 'solver': 'liblinear'} |
|       cholesterol       |  gaussian | 0.508417508418 | 0.508417508418 | 0.508417508418 | 0.508417508418 | 0.508417508418 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
